draw,budget_tCO2,overshoot_tCO2,responsibility_share,equality_share,capability_share
2386,243313433.72070533,56686566.27984035,0.016497139117826413,0.007,0.016208938335891585
2387,222441346.60837165,77558653.39217404,0.016497139117826413,0.007,0.014757886655026246
2388,240758070.557403,59241929.44314268,0.016497139117826413,0.007,0.014966858267018823
2389,244774598.3436798,55225401.656865895,0.016497139117826413,0.007,0.018315107531720252
2390,275417585.51686513,24967878.037219822,0.016497139117826413,0.007,0.016950820293478865
2391,248499561.27714983,51500438.723395854,0.016497139117826413,0.007,0.01704323835518859
2392,267500005.5817216,32499994.418824077,0.016497139117826413,0.007,0.01666882242679322
2393,260646417.67658526,39353582.32396042,0.016497139117826413,0.007,0.015619971238369404
2394,239727107.92614865,60272892.07439703,0.016497139117826413,0.007,0.015606699875635604
2395,272839330.10575205,27160669.89479363,0.016497139117826413,0.007,0.017278813658931025
2396,254931177.09996587,45068822.90057981,0.016497139117826413,0.007,0.016537703648887053
2397,262596039.95476538,37403960.0457803,0.016497139117826413,0.007,0.016228584751956928
2398,261451800.05683053,38548199.943715155,0.016497139117826413,0.007,0.016184617787805725
2399,249920476.62465006,50079523.37589562,0.016497139117826413,0.007,0.01704676335540443
2400,263277972.47104812,36722027.529497564,0.016497139117826413,0.007,0.01603425621535381
2401,249671194.25681067,50328805.743735015,0.016497139117826413,0.007,0.01615157645989473
2402,256410254.62428975,43589745.37625593,0.016497139117826413,0.007,0.016916929013154815
2403,246183977.95215905,53816022.04838663,0.016497139117826413,0.007,0.016800815550559286
2404,245793674.2203796,54206325.78016609,0.016497139117826413,0.007,0.0156744325599107
2405,241878795.27327216,58121204.727273524,0.016497139117826413,0.007,0.01736630860316313
2406,251959941.22065675,48040058.77988893,0.016497139117826413,0.007,0.017355927554580583
2407,240005518.54562312,59994481.45492256,0.016497139117826413,0.007,0.01684905009987036
2408,242843964.6472241,57156035.35332158,0.016497139117826413,0.007,0.016423546990753015
2409,236644058.54044014,63355941.46010554,0.016497139117826413,0.007,0.017011487732613916
2410,237736779.8451565,62263220.15538919,0.016497139117826413,0.007,0.01506957477935511
2411,263455289.84336072,36544710.15718496,0.016497139117826413,0.007,0.016561108971089953
2412,262733434.08160126,37266565.91894442,0.016497139117826413,0.007,0.016386258517342375
2413,236400092.6471768,63599907.35336888,0.016497139117826413,0.007,0.014992604697783412
